Order,Line,Site,Supplier,Name,Item Number,Quantity Ordered,Quantity Open,Quantity Received,UM,Due Date,Sales/Job,Producti,St,ERS PL Opt,ERS Opt,Consignment,Type,Operation,Ship-To,Performance Date,Need Date,Order Revision,Item Description
KANBAN1,1,11-201,10S1002,Bridgeville Industries,62200,0.0,0.0,0.0,EA,17/02/2019,,,,0,1,No,,0,11-201,17/02/2019,17/02/2019,0,Actuator
KANBAN1,2,11-201,10S1002,Bridgeville Industries,62001,0.0,0.0,0.0,EA,17/02/2019,,,,0,1,No,,0,11-201,17/02/2019,17/02/2019,0,Machine Casting
KANBAN1,3,11-201,10S1002,Bridgeville Industries,62002,0.0,0.0,0.0,EA,17/02/2019,,,,0,1,No,,0,11-201,17/02/2019,17/02/2019,0,Valve Stop
KANBAN1,4,11-201,10S1002,Bridgeville Industries,62003,0.0,0.0,0.0,EA,17/02/2019,,,,0,1,No,,0,11-201,17/02/2019,17/02/2019,0,Seal Discrete PO
PO011210,1,11-100,12S1002,Mexico City Chemicals,60060,160.0,0.0,160.0,GA,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,White Paint
PO011210,2,11-300,12S1002,Mexico City Chemicals,80020,600.0,0.0,600.0,ML,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Fragrance
PO011210,3,11-300,12S1002,Mexico City Chemicals,80021,125.0,0.0,125.0,GA,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Green Colorant
PO011210,4,11-300,12S1002,Mexico City Chemicals,80033,35.0,0.0,35.0,L,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Jojoba Oil Liquid
PO011210,5,11-300,12S1002,Mexico City Chemicals,80034,325.0,0.0,325.0,L,10/01/2012,,,,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Aloe Vera Oil Liquid
PO011210,6,11-300,12S1002,Mexico City Chemicals,80042,"4,500.0",0.0,"4,500.0",G,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Potassium Sorbate Powder
PO011210,7,11-500,12S1002,Mexico City Chemicals,80061,10.0,0.0,10.0,G,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Compressable Sugar
PO011210,8,11-500,12S1002,Mexico City Chemicals,80065,75.0,0.0,75.0,G,10/01/2012,,,c,0,1,No,,0,11-300,10/01/2012,10/01/2012,0,Maltodextrin
PO011290,1,11-100,10S1002,Bridgeville Industries,60001,47.0,0.0,47.0,EA,07/01/2012,,,,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,Durable Plastic Housing
PO011290,2,11-100,10S1002,Bridgeville Industries,60005,49.0,0.0,49.0,EA,07/01/2012,,,,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,Battery
PO011290,3,11-100,10S1002,Bridgeville Industries,60007,46.0,0.0,46.0,EA,07/01/2012,,,,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,Movable Cart
PO011290,4,11-200,10S1002,Bridgeville Industries,62201,"1,196.0",0.0,"1,196.0",EA,07/01/2012,,,,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,"24V Amp 2HP, 1/2 Dia"
PO011290,5,11-200,10S1002,Bridgeville Industries,62203,"9,465.0",0.0,"9,465.0",EA,07/01/2012,,,c,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,"Stud Press Fit #6 1/4"""
PO011290,6,11-200,10S1002,Bridgeville Industries,62290,"1,148.0",0.0,"1,148.0",EA,07/01/2012,,,,0,1,No,,0,11-100,07/01/2012,07/01/2012,0,Tool Forming Die Motor Assembly
PO011320,1,11-300,30S1004,Shanghai Chemical Manufacturers,80003,"2,000.0",0.0,"2,000.0",ML,14/01/2013,,,c,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Phenolic
PO011320,2,11-300,30S1004,Shanghai Chemical Manufacturers,80032,260.0,0.0,260.0,L,14/01/2013,,,c,0,1,No,,0,11-300,14/01/2013,14/01/2013,0,Glycerin Liquid
